non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,91.4,93.0,92.4,90.8,88.5,85.9,83.0,80.1,77.2,74.4,71.6,69.1,66.7,64.4,62.3,60.2,58.3,56.5,54.8,53.2
35,87.7,90.5,90.4,89.2,87.2,84.8,82.2,79.5,76.7,73.9,71.3,68.8,66.5,64.2,62.1,60.2,58.3,56.5,54.8,53.2
40,83.8,87.6,88.1,87.2,85.7,83.6,81.2,78.7,76.0,73.4,70.9,68.5,66.2,64.1,62.0,60.0,58.2,56.4,54.8,53.2
45,80.0,84.4,85.6,85.1,83.9,82.2,80.0,77.7,75.3,72.8,70.4,68.1,65.9,63.8,61.8,59.9,58.1,56.4,54.7,53.2
50,76.0,81.1,82.7,82.8,82.0,80.5,78.7,76.6,74.4,72.1,69.8,67.7,65.6,63.5,61.6,59.8,58.0,56.3,54.7,53.2
55,72.3,77.7,79.7,80.2,79.8,78.7,77.2,75.3,73.3,71.2,69.2,67.1,65.1,63.2,61.3,59.6,57.9,56.2,54.7,53.2
60,68.9,74.2,76.5,77.4,77.4,76.6,75.4,73.9,72.1,70.2,68.3,66.4,64.6,62.8,61.0,59.3,57.7,56.1,54.6,53.2
65,65.5,70.7,73.3,74.5,74.7,74.4,73.5,72.2,70.7,69.1,67.4,65.7,64.0,62.3,60.7,59.1,57.5,56.0,54.6,53.2
70,62.6,67.4,70.0,71.3,71.9,71.8,71.2,70.3,69.1,67.7,66.3,64.7,63.2,61.7,60.2,58.7,57.3,55.9,54.5,53.2
75,60.1,64.2,66.7,68.1,68.8,68.9,68.7,68.0,67.1,66.1,64.9,63.6,62.3,60.9,59.6,58.3,57.0,55.7,54.4,53.2
80,58.0,61.3,63.5,64.8,65.5,65.9,65.8,65.4,64.8,64.0,63.1,62.1,61.1,60.0,58.9,57.7,56.6,55.4,54.3,53.2
85,56.4,58.8,60.4,61.5,62.2,62.5,62.6,62.4,62.0,61.6,61.0,60.3,59.5,58.7,57.9,57.0,56.0,55.1,54.1,53.2
90,55.1,56.4,57.4,58.1,58.6,58.9,59.0,59.0,58.9,58.7,58.4,58.0,57.6,57.1,56.5,55.9,55.3,54.6,53.9,53.2
95,53.7,54.2,54.6,54.9,55.2,55.4,55.5,55.6,55.6,55.5,55.5,55.3,55.2,55.0,54.7,54.5,54.2,53.9,53.5,53.2
98,53.9,54.0,54.0,54.1,54.1,54.1,54.1,54.1,54.1,54.0,54.0,53.9,53.9,53.8,53.7,53.6,53.5,53.4,53.3,53.2
