non_dcia_cn,dcia_5,dcia_10,dcia_15,dcia_20,dcia_25,dcia_30,dcia_35,dcia_40,dcia_45,dcia_50,dcia_55,dcia_60,dcia_65,dcia_70,dcia_75,dcia_80,dcia_85,dcia_90,dcia_95,dcia_100
30,97.9,98.2,97.5,96.2,94.4,92.1,89.6,86.9,84.1,81.3,78.5,75.9,73.3,70.9,68.5,66.3,64.2,62.2,60.4,58.6
35,96.7,97.3,96.8,95.6,93.8,91.7,89.2,86.6,83.8,81.1,78.4,75.7,73.2,70.8,68.5,66.3,64.2,62.2,60.4,58.6
40,95.0,96.1,95.9,94.8,93.1,91.1,88.7,86.2,83.5,80.8,78.2,75.6,73.1,70.7,68.4,66.2,64.2,62.2,60.4,58.6
45,93.0,94.7,94.6,93.7,92.2,90.3,88.1,85.6,83.1,80.5,77.9,75.4,72.9,70.6,68.3,66.2,64.1,62.2,60.4,58.6
50,90.7,92.8,93.1,92.4,91.1,89.3,87.3,85.0,82.5,80.0,77.5,75.1,72.7,70.4,68.2,66.1,64.0,62.1,60.3,58.6
55,88.0,90.6,91.1,90.7,89.7,88.1,86.3,84.1,81.8,79.4,77.0,74.7,72.4,70.1,68.0,65.9,64.0,62.1,60.3,58.6
60,84.8,87.9,88.8,88.7,88.0,86.7,85.0,83.0,80.9,78.7,76.5,74.2,72.0,69.8,67.8,65.8,63.8,62.0,60.3,58.6
65,81.5,84.9,86.2,86.3,85.8,84.8,83.4,81.7,79.8,77.8,75.7,73.6,71.5,69.5,67.5,65.5,63.7,61.9,60.2,58.6
70,78.1,81.7,83.1,83.5,83.2,82.5,81.4,80.0,78.4,76.6,74.7,72.8,70.9,68.9,67.1,65.2,63.5,61.8,60.2,58.6
75,74.9,78.1,79.6,80.2,80.2,79.8,79.0,77.9,76.5,75.0,73.4,71.7,70.0,68.3,66.5,64.8,63.2,61.6,60.1,58.6
80,71.6,74.3,75.8,76.5,76.7,76.5,76.0,75.2,74.1,73.0,71.7,70.3,68.8,67.3,65.8,64.3,62.8,61.4,60.0,58.6
85,68.6,70.6,71.8,72.5,72.8,72.7,72.4,71.9,71.2,70.3,69.3,68.3,67.1,65.9,64.7,63.5,62.2,61.0,59.8,58.6
90,65.7,66.9,67.7,68.1,68.3,68.3,68.2,67.9,67.5,66.9,66.3,65.6,64.9,64.0,63.2,62.3,61.4,60.5,59.5,58.6
95,62.7,63.0,63.2,63.3,63.4,63.4,63.3,63.2,63.0,62.8,62.5,62.2,61.8,61.4,61.0,60.5,60.1,59.6,59.1,58.6
98,60.8,60.8,60.8,60.7,60.7,60.6,60.5,60.4,60.3,60.2,60.1,59.9,59.8,59.6,59.5,59.3,59.2,59.0,58.8,58.6
